Stars,Title,Description,label,Sentiment
5.0,"5.0 out of 5 stars
Best product at best price",Nice product with low price,OR,Neutral
4.0,"4.0 out of 5 stars
Good phone in less budget","Nice product in good money, only body quality is little plastic.",CG,Neutral
5.0,"5.0 out of 5 stars
Good mobile",Good mobile...Thanks...,OR,Positive
3.0,"3.0 out of 5 stars
Not satisfying",Well it is easy to use but it doesn't connect with Bluetooth speaker. Also it doesn't recognise the micro sd after an year. And doesn't have any phone memory. Only keep 100 message and for new you have to delete old ones. But has a great sound. Best only for calling.,CG,Neutral
1.0,"1.0 out of 5 stars
Worst",Worst product ever i purchase from here i don't like it all i ordered for my granpa but it's not working i tried so much but this phone is not taking any sim cards,OR,Negative
5.0,"5.0 out of 5 stars
Nice",Nice,OR,Positive
4.0,"4.0 out of 5 stars
Good",Good performance,OR,Positive
5.0,"5.0 out of 5 stars
The most beautiful keepad phone","Its small , looks good , do the job .",CG,Neutral
4.0,"4.0 out of 5 stars
Good",Nice,OR,Positive
4.0,"4.0 out of 5 stars
About Product",Noice phone and easy to use,CG,Neutral
5.0,"5.0 out of 5 stars
Best product at best price",Nice product with low price,OR,Neutral
4.0,"4.0 out of 5 stars
Good phone in less budget","Nice product in good money, only body quality is little plastic.",CG,Neutral
5.0,"5.0 out of 5 stars
Good mobile",Good mobile...Thanks...,OR,Positive
3.0,"3.0 out of 5 stars
Not satisfying",Well it is easy to use but it doesn't connect with Bluetooth speaker. Also it doesn't recognise the micro sd after an year. And doesn't have any phone memory. Only keep 100 message and for new you have to delete old ones. But has a great sound. Best only for calling.,CG,Neutral
1.0,"1.0 out of 5 stars
Worst",Worst product ever i purchase from here i don't like it all i ordered for my granpa but it's not working i tried so much but this phone is not taking any sim cards,OR,Negative
5.0,"5.0 out of 5 stars
Nice",Nice,OR,Positive
4.0,"4.0 out of 5 stars
Good",Good performance,OR,Positive
5.0,"5.0 out of 5 stars
The most beautiful keepad phone","Its small , looks good , do the job .",CG,Neutral
4.0,"4.0 out of 5 stars
Good",Nice,OR,Positive
4.0,"4.0 out of 5 stars
About Product",Noice phone and easy to use,CG,Neutral
5.0,"5.0 out of 5 stars
Best product at best price",Nice product with low price,OR,Neutral
4.0,"4.0 out of 5 stars
Good phone in less budget","Nice product in good money, only body quality is little plastic.",CG,Neutral
5.0,"5.0 out of 5 stars
Good mobile",Good mobile...Thanks...,OR,Positive
3.0,"3.0 out of 5 stars
Not satisfying",Well it is easy to use but it doesn't connect with Bluetooth speaker. Also it doesn't recognise the micro sd after an year. And doesn't have any phone memory. Only keep 100 message and for new you have to delete old ones. But has a great sound. Best only for calling.,CG,Neutral
1.0,"1.0 out of 5 stars
Worst",Worst product ever i purchase from here i don't like it all i ordered for my granpa but it's not working i tried so much but this phone is not taking any sim cards,OR,Negative
5.0,"5.0 out of 5 stars
Nice",Nice,OR,Positive
4.0,"4.0 out of 5 stars
Good",Good performance,OR,Positive
5.0,"5.0 out of 5 stars
The most beautiful keepad phone","Its small , looks good , do the job .",CG,Neutral
4.0,"4.0 out of 5 stars
Good",Nice,OR,Positive
4.0,"4.0 out of 5 stars
About Product",Noice phone and easy to use,CG,Neutral
5.0,"5.0 out of 5 stars
Best product at best price",Nice product with low price,OR,Neutral
4.0,"4.0 out of 5 stars
Good phone in less budget","Nice product in good money, only body quality is little plastic.",CG,Neutral
5.0,"5.0 out of 5 stars
Good mobile",Good mobile...Thanks...,OR,Positive
3.0,"3.0 out of 5 stars
Not satisfying",Well it is easy to use but it doesn't connect with Bluetooth speaker. Also it doesn't recognise the micro sd after an year. And doesn't have any phone memory. Only keep 100 message and for new you have to delete old ones. But has a great sound. Best only for calling.,CG,Neutral
1.0,"1.0 out of 5 stars
Worst",Worst product ever i purchase from here i don't like it all i ordered for my granpa but it's not working i tried so much but this phone is not taking any sim cards,OR,Negative
5.0,"5.0 out of 5 stars
Nice",Nice,OR,Positive
4.0,"4.0 out of 5 stars
Good",Good performance,OR,Positive
5.0,"5.0 out of 5 stars
The most beautiful keepad phone","Its small , looks good , do the job .",CG,Neutral
4.0,"4.0 out of 5 stars
Good",Nice,OR,Positive
4.0,"4.0 out of 5 stars
About Product",Noice phone and easy to use,CG,Neutral
5.0,"5.0 out of 5 stars
Best product at best price",Nice product with low price,OR,Neutral
4.0,"4.0 out of 5 stars
Good phone in less budget","Nice product in good money, only body quality is little plastic.",CG,Neutral
5.0,"5.0 out of 5 stars
Good mobile",Good mobile...Thanks...,OR,Positive
3.0,"3.0 out of 5 stars
Not satisfying",Well it is easy to use but it doesn't connect with Bluetooth speaker. Also it doesn't recognise the micro sd after an year. And doesn't have any phone memory. Only keep 100 message and for new you have to delete old ones. But has a great sound. Best only for calling.,CG,Neutral
1.0,"1.0 out of 5 stars
Worst",Worst product ever i purchase from here i don't like it all i ordered for my granpa but it's not working i tried so much but this phone is not taking any sim cards,OR,Negative
5.0,"5.0 out of 5 stars
Nice",Nice,OR,Positive
4.0,"4.0 out of 5 stars
Good",Good performance,OR,Positive
5.0,"5.0 out of 5 stars
The most beautiful keepad phone","Its small , looks good , do the job .",CG,Neutral
4.0,"4.0 out of 5 stars
Good",Nice,OR,Positive
4.0,"4.0 out of 5 stars
About Product",Noice phone and easy to use,CG,Neutral
