Stars,Title,Description,label,Sentiment
5.0,"5.0 out of 5 stars
Good mobile","Very good compact design and battery back is superb.volume and sound is average.Supports 2G, 3G sims...4G sim not supported.",OR,Neutral
4.0,"4.0 out of 5 stars
Good phone",Nice battery🔋,OR,Positive
5.0,"5.0 out of 5 stars
Superb charging backup",Very good ... Value for money defenately,OR,Positive
1.0,"1.0 out of 5 stars
LIFE OF THE PHONE IS ONLY 3 MONTHS","WORST PHONE I HAVE EVER USED, AFTER 3 MONTH MIC WAS NOT WORKING, AFTER 6 MONTHS PHONE WAS NOT SWITCHING ON AND ALL PROBLEMS LIKE KEYPAD NOT WORKING",OR,Negative
3.0,"3.0 out of 5 stars
Only Show piece",Battery is powerful but not durableStarted problem after one month of use,CG,Neutral
5.0,"5.0 out of 5 stars
Good battery and strong.",Very good build quality with strong body and big battery which can give 3 to 4 days for normal use. Nice phone.Buttons are easy to use .,OR,Neutral
4.0,"4.0 out of 5 stars
Nice",Good,OR,Positive
5.0,"5.0 out of 5 stars
Good",Good good,OR,Positive
4.0,"4.0 out of 5 stars
Free from social media","The media could not be loaded.
                



 Good mobile every need like this mobile 10days batarry non stop music FM I love iit after deep search among so many keypad mobils last I selected this  all features  are good glosy penal may effect screaches  good looking mobile hands free light waight",OR,Neutral
4.0,"4.0 out of 5 stars
Daamdar","The media could not be loaded.
                



 Battery back up is just fantastic...it gives around 15days of battery on moderate usage.",OR,Neutral
