Stars,Title,Description,label,Sentiment
5.0,"5.0 out of 5 stars
The best value for money wireless optical mouse that laptop users can get?","Let's get it straight. I purchased this product recently and the initial impressions are indeed impressive. Given the package was handled carefully throughout the delivery, no external damage or functional defects were visible upon unboxing the item and using it for the first time. The mouse is light weight, thus making it suitable for carrying anywhere and the design is intentionally kept compact in order to make it ergonomically better for people with a smaller sized hand. It's quite responsive but the sensitivity adjustments made by DPI button are barely noticeable. I liked the Intelligent Power Saving function where the mouse enters standby mode when not in use in order to increase battery life. You may consider using Duracell for best results. To be honest, please don't expect this mouse to last for years, especially if you travel often given the product has been already offered at a lower price. However, the durability may also vary based on your usage pattern and frequency. Overall, a value for money computer accessory one can get. If you're planning to purchase a budget friendly wireless mouse, just go for it!",OR,Neutral
4.0,"4.0 out of 5 stars
The best cheapest Mouse you'd ever find","At his price point you'd only get the wired mouse which does not come with a very long and good-quality wire, those mouses are also kind of weird and the click experience is not good at all...I've been using this mouse for almost a year now and honestly I didn't expected it to be so damn good, not only it's comfortable in your hands (I have rather small hands, so maybe go for other options if you have big hands) it also does it's job pretty well, the scroll-wheel is also decent. The only downside of this mouse is that it comes without a battery, it supports AA batteries and the rechargeable ones are pretty expensive, plus if you're a heavy mouse user the battery may not last (maybe 15-20 days at most).Plus it is to be noted that my standards are pretty low since I've never used an expensive mouse, if you have, then this product will be a great-disappointment for you",OR,Negative
5.0,"5.0 out of 5 stars
Good buy in low price, works as expected","Mouse is good in lower price range, based on past experience, any mouse whether cheap or expensive, it works hardly for 2-3 years, so better go for this, works as expected and price is also reasonable. Good buy and useful.",OR,Neutral
4.0,"4.0 out of 5 stars
Products is good but is not working scroll button",,OR,Positive
5.0,"5.0 out of 5 stars
Sturdiness and precision",I ordered this mouse for my personal usage only and seems like I made the right decision. Mouse fits well in my hands (slightly larger than average hands) and matches with my efficiency and productivity needs.Good product to buy. Go for it!!!,OR,Neutral
3.0,"3.0 out of 5 stars
you get what you pay for","mouse starts skipping places ( sensor skeeps movements often times ) , other wise its good",OR,Neutral
5.0,"5.0 out of 5 stars
For 299 ( battery not included ) , it good , hard plastic , but cant complain at 299","For 299 ( battery not included ) , it good , hard plastic , but cant complain at 299-To hold it feel perfect , its small and weight less.- The sleep mode work very good , but you have to click it to wake it up.-DPI changer is added bonus",OR,Neutral
4.0,"4.0 out of 5 stars
Beautiful and Premium","The product is good according to the price, I have made this purchase on the basis of 2 features:1st : The Clickiness of this mouseOmg ! The Clickiness of this mouse is too good , it feels and sounds great , some mouse doesn't produce sounds when clicking, and I don't like that ,2nd : The look -The mouse feels premium on holding, and looks beautiful 😍As a have a silver coloured laptop, this white coloured mouse , which also comes in two other colors , perfectly matches with my laptopWith this low price I don't have any thing to complain, except the buildThe build is good , But I had thought of more durable, the mouse feels like once it will drop to floor ,its component will break down ,By the way let's see how long this will work",OR,Neutral
4.0,"4.0 out of 5 stars
Overall good product","I have bought  this product  2nd time, 1st time it get damage due to my mistake. Its smoothness, connectivity etc got 5 start, their is dislike  price may be decrease  and also improve battry consumer  time. Over all experience  is very good",OR,Negative
4.0,"4.0 out of 5 stars
Quick service & very trustworthy...",“I am impressed with how (Portronics) effectively balanced challenging objectives while maintaining a high level of performance in their daily responsibilities. They demonstrated strong time management and prioritization skills.”,OR,Neutral
