Stars,Title,Description,label,Sentiment
5.0,"5.0 out of 5 stars
Excellent watch","Excellent watch bought for my dad and he liked it very much looks great, thanks Amazon for delivering it before time.",OR,Neutral
5.0,"5.0 out of 5 stars
Very worthy",Very good quality⚡ worth for money..but don't buy if you were searching for light weight,OR,Neutral
4.0,"4.0 out of 5 stars
Awsum look","I very confusing this product are original/Duplicate, but usualy very great look no effect any bad condition.",OR,Negative
1.0,"1.0 out of 5 stars
Not waterproof don't bye","The media could not be loaded.
                



 Not waterproof money west pesa barbad",OR,Neutral
5.0,"5.0 out of 5 stars
Beautiful",Value for money,OR,Positive
5.0,"5.0 out of 5 stars
Too good watch.","The media could not be loaded.
                



 I like the colour most",OR,Negative
5.0,"5.0 out of 5 stars
Sonata watches very good 👍","The media could not be loaded.
                



 Quantity is good 👍 beautiful ❤️ Sonata watch ⌚",OR,Neutral
2.0,"2.0 out of 5 stars
Compny rejected product dileverd me","The media could not be loaded.
                



 प्रोडक्ट में कलर निकला हुआ है और हल्का सा डैमेज है",OR,Neutral
4.0,"4.0 out of 5 stars
The packaging was not good ... Can damage the watch if not handled with care",Watch is nice ... looks Premium... A must buy product,OR,Neutral
4.0,"4.0 out of 5 stars
Just wow","The media could not be loaded.
                



 Its limited so go for it right now. No any issue.",OR,Negative
5.0,"5.0 out of 5 stars
Excellent watch","Excellent watch bought for my dad and he liked it very much looks great, thanks Amazon for delivering it before time.",OR,Neutral
5.0,"5.0 out of 5 stars
Very worthy",Very good quality⚡ worth for money..but don't buy if you were searching for light weight,OR,Neutral
4.0,"4.0 out of 5 stars
Awsum look","I very confusing this product are original/Duplicate, but usualy very great look no effect any bad condition.",OR,Negative
1.0,"1.0 out of 5 stars
Not waterproof don't bye","The media could not be loaded.
                



 Not waterproof money west pesa barbad",OR,Neutral
5.0,"5.0 out of 5 stars
Beautiful",Value for money,OR,Positive
5.0,"5.0 out of 5 stars
Too good watch.","The media could not be loaded.
                



 I like the colour most",OR,Negative
5.0,"5.0 out of 5 stars
Sonata watches very good 👍","The media could not be loaded.
                



 Quantity is good 👍 beautiful ❤️ Sonata watch ⌚",OR,Neutral
2.0,"2.0 out of 5 stars
Compny rejected product dileverd me","The media could not be loaded.
                



 प्रोडक्ट में कलर निकला हुआ है और हल्का सा डैमेज है",OR,Neutral
4.0,"4.0 out of 5 stars
The packaging was not good ... Can damage the watch if not handled with care",Watch is nice ... looks Premium... A must buy product,OR,Neutral
4.0,"4.0 out of 5 stars
Just wow","The media could not be loaded.
                



 Its limited so go for it right now. No any issue.",OR,Negative
5.0,"5.0 out of 5 stars
Excellent watch","Excellent watch bought for my dad and he liked it very much looks great, thanks Amazon for delivering it before time.",OR,Neutral
5.0,"5.0 out of 5 stars
Very worthy",Very good quality⚡ worth for money..but don't buy if you were searching for light weight,OR,Neutral
4.0,"4.0 out of 5 stars
Awsum look","I very confusing this product are original/Duplicate, but usualy very great look no effect any bad condition.",OR,Negative
1.0,"1.0 out of 5 stars
Not waterproof don't bye","The media could not be loaded.
                



 Not waterproof money west pesa barbad",OR,Neutral
5.0,"5.0 out of 5 stars
Beautiful",Value for money,OR,Positive
5.0,"5.0 out of 5 stars
Too good watch.","The media could not be loaded.
                



 I like the colour most",OR,Negative
5.0,"5.0 out of 5 stars
Sonata watches very good 👍","The media could not be loaded.
                



 Quantity is good 👍 beautiful ❤️ Sonata watch ⌚",OR,Neutral
2.0,"2.0 out of 5 stars
Compny rejected product dileverd me","The media could not be loaded.
                



 प्रोडक्ट में कलर निकला हुआ है और हल्का सा डैमेज है",OR,Neutral
4.0,"4.0 out of 5 stars
The packaging was not good ... Can damage the watch if not handled with care",Watch is nice ... looks Premium... A must buy product,OR,Neutral
4.0,"4.0 out of 5 stars
Just wow","The media could not be loaded.
                



 Its limited so go for it right now. No any issue.",OR,Negative
5.0,"5.0 out of 5 stars
Excellent watch","Excellent watch bought for my dad and he liked it very much looks great, thanks Amazon for delivering it before time.",OR,Neutral
5.0,"5.0 out of 5 stars
Very worthy",Very good quality⚡ worth for money..but don't buy if you were searching for light weight,OR,Neutral
4.0,"4.0 out of 5 stars
Awsum look","I very confusing this product are original/Duplicate, but usualy very great look no effect any bad condition.",OR,Negative
1.0,"1.0 out of 5 stars
Not waterproof don't bye","The media could not be loaded.
                



 Not waterproof money west pesa barbad",OR,Neutral
5.0,"5.0 out of 5 stars
Beautiful",Value for money,OR,Positive
5.0,"5.0 out of 5 stars
Too good watch.","The media could not be loaded.
                



 I like the colour most",OR,Negative
5.0,"5.0 out of 5 stars
Sonata watches very good 👍","The media could not be loaded.
                



 Quantity is good 👍 beautiful ❤️ Sonata watch ⌚",OR,Neutral
2.0,"2.0 out of 5 stars
Compny rejected product dileverd me","The media could not be loaded.
                



 प्रोडक्ट में कलर निकला हुआ है और हल्का सा डैमेज है",OR,Neutral
4.0,"4.0 out of 5 stars
The packaging was not good ... Can damage the watch if not handled with care",Watch is nice ... looks Premium... A must buy product,OR,Neutral
4.0,"4.0 out of 5 stars
Just wow","The media could not be loaded.
                



 Its limited so go for it right now. No any issue.",OR,Negative
5.0,"5.0 out of 5 stars
Excellent watch","Excellent watch bought for my dad and he liked it very much looks great, thanks Amazon for delivering it before time.",OR,Neutral
5.0,"5.0 out of 5 stars
Very worthy",Very good quality⚡ worth for money..but don't buy if you were searching for light weight,OR,Neutral
4.0,"4.0 out of 5 stars
Awsum look","I very confusing this product are original/Duplicate, but usualy very great look no effect any bad condition.",OR,Negative
1.0,"1.0 out of 5 stars
Not waterproof don't bye","The media could not be loaded.
                



 Not waterproof money west pesa barbad",OR,Neutral
5.0,"5.0 out of 5 stars
Beautiful",Value for money,OR,Positive
5.0,"5.0 out of 5 stars
Too good watch.","The media could not be loaded.
                



 I like the colour most",OR,Negative
5.0,"5.0 out of 5 stars
Sonata watches very good 👍","The media could not be loaded.
                



 Quantity is good 👍 beautiful ❤️ Sonata watch ⌚",OR,Neutral
2.0,"2.0 out of 5 stars
Compny rejected product dileverd me","The media could not be loaded.
                



 प्रोडक्ट में कलर निकला हुआ है और हल्का सा डैमेज है",OR,Neutral
4.0,"4.0 out of 5 stars
The packaging was not good ... Can damage the watch if not handled with care",Watch is nice ... looks Premium... A must buy product,OR,Neutral
4.0,"4.0 out of 5 stars
Just wow","The media could not be loaded.
                



 Its limited so go for it right now. No any issue.",OR,Negative
5.0,"5.0 out of 5 stars
Excellent watch","Excellent watch bought for my dad and he liked it very much looks great, thanks Amazon for delivering it before time.",OR,Neutral
5.0,"5.0 out of 5 stars
Very worthy",Very good quality⚡ worth for money..but don't buy if you were searching for light weight,OR,Neutral
4.0,"4.0 out of 5 stars
Awsum look","I very confusing this product are original/Duplicate, but usualy very great look no effect any bad condition.",OR,Negative
1.0,"1.0 out of 5 stars
Not waterproof don't bye","The media could not be loaded.
                



 Not waterproof money west pesa barbad",OR,Neutral
5.0,"5.0 out of 5 stars
Beautiful",Value for money,OR,Positive
5.0,"5.0 out of 5 stars
Too good watch.","The media could not be loaded.
                



 I like the colour most",OR,Negative
5.0,"5.0 out of 5 stars
Sonata watches very good 👍","The media could not be loaded.
                



 Quantity is good 👍 beautiful ❤️ Sonata watch ⌚",OR,Neutral
2.0,"2.0 out of 5 stars
Compny rejected product dileverd me","The media could not be loaded.
                



 प्रोडक्ट में कलर निकला हुआ है और हल्का सा डैमेज है",OR,Neutral
4.0,"4.0 out of 5 stars
The packaging was not good ... Can damage the watch if not handled with care",Watch is nice ... looks Premium... A must buy product,OR,Neutral
4.0,"4.0 out of 5 stars
Just wow","The media could not be loaded.
                



 Its limited so go for it right now. No any issue.",OR,Negative
5.0,"5.0 out of 5 stars
Excellent watch","Excellent watch bought for my dad and he liked it very much looks great, thanks Amazon for delivering it before time.",OR,Neutral
5.0,"5.0 out of 5 stars
Very worthy",Very good quality⚡ worth for money..but don't buy if you were searching for light weight,OR,Neutral
