Stars,Title,Description,label,Sentiment
5.0,"5.0 out of 5 stars
Excellent product from ptron",I made a right choice for buying this product. You should buy fusion v3 model. IT has very good attractive RGB LED lighting. The sound is louder than l expected. It also nice base. And it has compact design and weight. It can use on party and it makes joyful. This is valuable for money and I bought at price of 1299/-. But it has only one con that is the mic and poor build quality of it's remote. This product is liked by people who will use it has DJ in party. we should buy a separate mic. Buy this product.,OR,Neutral
4.0,"4.0 out of 5 stars
Medium (full Review)","Sound good, loud. But ON opening very loud, mode speak (ex blutooth mode, FM mode ) Not Control volume, only control media volume. High volume.Light: mode button long press, light off.Cable: worth, type B strong,length cable in boxMic: very very low (100%Not choosing this model,mic purpose)Remote: okFM: no antanaUSB: goodBass: normal, music: ok, tueeter: medium. Equalizer available.40w loud music purpose, buy.",OR,Negative
5.0,"5.0 out of 5 stars
Great sound quality",Sound quality of this speaker is really awesome it's built quality also very good it's coming with RGB colour light that's looking fantastic all necessary connections port available in this speaker best speaker in this price range highly recommended.,OR,Neutral
5.0,"5.0 out of 5 stars
fabulous speaker","The media could not be loaded.
                



 sound quality is awesome and base is punchy. build quality is very good. mic quality is very good.battery quality is also good in this price segment.",CG,Neutral
3.0,"3.0 out of 5 stars
Ok for the price",Speaker sound is good for this price range.. but microphone is crappy and useless.. you have to touch your lips on the mic and speak to hear the sound.,OR,Negative
4.0,"4.0 out of 5 stars
Ok for small gathering","Sound good , but mic is echoing too much which is why i cut 1 star. got this at 1.3k 🙃",OR,Negative
1.0,"1.0 out of 5 stars
Need so much important",Overall quality is okBut sound is not clear crisp quality,CG,Negative
5.0,"5.0 out of 5 stars
Loud and Beautiful",Speaker is value for money. The LED lights are so beautiful to watch. In a dark room can give a disco like feeling. And it's loud. Very loud. With inbuilt rechargeable battery it's a must buy for home and outdoor use.,OR,Neutral
4.0,"4.0 out of 5 stars
Good",Good product but some parts not working...... remote,OR,Neutral
5.0,"5.0 out of 5 stars
Amazing product in this price range",The audio quality very amazing. The mic and remote also work like charm. The build quality is very premium. There is no audio cracking even on full volume. Vocals as well as bass are superb quality. Highly recommended.,OR,Neutral
